Clases,Caracteristica 1,Caracteristica 2,Caracteristica 3,Caracteristica 4,Caracteristica 5,Caracteristica 6,Caracteristica 7
3,0.006118352645060244,2.648815065511481e-05,1.9951215935779414e-07,3.1363694880339613e-07,7.825852757512713e-14,1.6103129438209866e-09,-5.561334833015706e-15
3,0.006121200491481831,2.6017078710409465e-05,1.9838009954464218e-07,3.169345843120007e-07,7.921960285158183e-14,1.6118990957090753e-09,-6.304267801527825e-15
3,0.005613568823858949,2.2367523135970616e-05,1.566157387131573e-07,2.438911903904548e-07,4.7533366267457856e-14,1.1506223478689538e-09,-3.558053350131315e-15
3,0.006466948944955734,2.9098678523043204e-05,2.3422941274715652e-07,3.7379878975042156e-07,1.1027209232744875e-13,2.0106096855197086e-09,-8.584225145556597e-15
3,0.006629147574925768,2.9736991304404416e-05,2.38610184437719e-07,3.8789587475542595e-07,1.1742501405111822e-13,2.108871944324728e-09,-1.173135955179594e-14
3,0.006197595996032854,2.6875435057079103e-05,2.0380291467713407e-07,3.258837948479007e-07,8.376362277361133e-14,1.685259722656735e-09,-6.0875524245508546e-15
3,0.006992748583308001,3.226181540120338e-05,2.754058907653677e-07,4.505657143513227e-07,1.5764269912291844e-13,2.5511271426238414e-09,-1.843663183725644e-14
3,0.006387299504548536,2.8320316358800786e-05,2.2489750102579853e-07,3.5695177259980473e-07,1.0078733058685163e-13,1.8946248769843373e-09,-8.393141673735383e-15
3,0.006525202233092999,3.012539418081109e-05,2.44911367850103e-07,3.8488631648796375e-07,1.178639216579672e-13,2.107029476788252e-09,-8.484338625622291e-15
3,0.006644895755330758,3.0992370714941225e-05,2.5462047578707436e-07,4.0534479042180093e-07,1.2988924399434136e-13,2.250549950809116e-09,-9.300039018078466e-15
3,0.005977100520257428,2.5557863532326367e-05,1.9137669094049744e-07,2.952986184981854e-07,7.003131063029718e-14,1.4893226180517292e-09,-4.8626013249634335e-15
4,0.004899364596448559,1.7050308579720598e-05,1.0503308794472382e-07,1.5657087048496023e-07,2.0029408577600276e-14,6.462432714328115e-10,-1.4020368933880574e-15
4,0.0045624511626892435,1.4373856363525268e-05,8.144829887378346e-08,1.255260006619629e-07,1.2644550060410673e-14,4.756608286231464e-10,-1.1003349829599163e-15
4,0.0049912488021085135,1.714262655808302e-05,1.0757937077164039e-07,1.6459663587664453e-07,2.1821570101983222e-14,6.812323022061738e-10,-1.8824290935135106e-15
4,0.004997960359560006,1.729962840857308e-05,1.0639996377072968e-07,1.6346143291964253e-07,2.1488494580869916e-14,6.795926297878431e-10,-1.7205648996815806e-15
4,0.004958794028471212,1.679591871668092e-05,1.0170428156960762e-07,1.5832941483342558e-07,2.0001112016372803e-14,6.48512334552626e-10,-1.903488988942637e-15
4,0.00486561066789995,1.6330312526927465e-05,9.824256955456334e-08,1.513958555633476e-07,1.8399963753594704e-14,6.115746507115528e-10,-1.5339004215896847e-15
4,0.005514881606621887,2.2019736903115636e-05,1.5221950242947537e-07,2.2230342276252473e-07,4.080048345010435e-14,1.0426427901694687e-09,-2.756735467697532e-15
4,0.0048419528041949034,1.6745640452317858e-05,1.0438674627196573e-07,1.5360629161624752e-07,1.940548790541117e-14,6.282940518856812e-10,-1.326057191073802e-15
4,0.004862202424694652,1.6881446199962154e-05,1.0496509520105096e-07,1.546040209864644e-07,1.9647641125932763e-14,6.349430333698939e-10,-1.3634570980875117e-15
4,0.005460578498930078,1.99142246879136e-05,1.3225483336604668e-07,2.1112728064519036e-07,3.5117893242867604e-14,9.417350487528538e-10,-3.37283855556696e-15
4,0.004353485289307885,1.3545350152336633e-05,7.236242179935165e-08,1.0760827130778423e-07,9.466010016545441e-15,3.958456958154243e-10,-7.497735128428414e-16
4,0.00476522090806058,1.6242107884528227e-05,9.71882116419754e-08,1.4348600576364248e-07,1.690276706509049e-14,5.78026536313431e-10,-1.1842464821947953e-15
4,0.005063804664139831,1.761107351519236e-05,1.1055926178621548e-07,1.7005427129077807e-07,2.3225753932214684e-14,7.13378964267971e-10,-2.0645557234926802e-15
4,0.005143059995477153,1.8549771876724197e-05,1.2135139592763334e-07,1.827247647058311e-07,2.7140911416467407e-14,7.866056896433295e-10,-1.9289395097794008e-15
4,0.0051831245312163494,1.9185738383042016e-05,1.2369094521672532e-07,1.8431091604411835e-07,2.7769421234907008e-14,8.069663316651732e-10,-1.8180037342953524e-15
4,0.004948070721672412,1.7316371273668874e-05,1.0760277204435503e-07,1.6096446018408957e-07,2.1132854254021735e-14,6.695648453124326e-10,-1.4702928001948403e-15
4,0.005231533340316647,1.8520175671692497e-05,1.1942159407543218e-07,1.8786660510338735e-07,2.80220391203961e-14,8.079761556008808e-10,-2.5680206059056495e-15
4,0.004742205842357859,1.585917844947601e-05,9.536183524383786e-08,1.4290015653349812e-07,1.663891722085773e-14,5.68863955873361e-10,-1.1918418912126825e-15
4,0.004883360258948207,1.6883385745374994e-05,1.0406579546644286e-07,1.552430221274898e-07,1.9683600188305724e-14,6.37656306296654e-10,-1.381866446005329e-15
4,0.0051216321357280235,1.8572304834689633e-05,1.1915160723150758e-07,1.7791774424635124e-07,2.584225283087833e-14,7.66410924938353e-10,-1.7978650117249338e-15
4,0.005340021288958406,2.092215483435915e-05,1.3958260795363786e-07,2.0212527512064424e-07,3.389492992559911e-14,9.242549326410838e-10,-1.9422620102398474e-15
4,0.005111733267982107,1.7652260221473133e-05,1.1030065993089871e-07,1.7396578763545278e-07,2.3984939843680313e-14,7.305682406159415e-10,-2.333773566857478e-15
4,0.005013773437399513,1.7740635872888157e-05,1.1095365406249257e-07,1.6658098967419165e-07,2.2567368732844463e-14,7.012337255031043e-10,-1.896422610519052e-15
4,0.004803378739022536,1.6446021414850407e-05,9.982261433586512e-08,1.4790423701182226e-07,1.7929209616484315e-14,5.995802630260377e-10,-1.2328178958565268e-15
4,0.005038588216351629,1.7977821827199125e-05,1.1273679128374417e-07,1.686321811099556e-07,2.319572219817994e-14,7.147246258235201e-10,-1.6037969599758517e-15
